MessageNumber	DiagnosisTypes	Timestamp	TimeElapsed	Source	Destination	Module	Summary	PayloadLength	Payload
23	None	2019-01-26T15:44:03.0721950		192.168.116.17	192.168.116.31	UDP	SrcPort: 59805, DstPort: 5002, Length: 314	306	44,52,49,4E,45,54,54,4D,C0,A8,74,11,7A,3D,00,00,00,3E,31,31,37,34,61,38,63,30,2D,33,30,36,37,36,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,69,71,6E,2E,31,39,39,31,2D,30,35,2E,63,6F,6D,2E,6D,69,63,72,6F,73,6F,66,74,3A,75,6E,69,73,70,68,65,72,65,2E,6E,6F,72,74,68,61,6D,65,72,69,63,61,2E,63,6F,72,70,2E,6D,69,63,72,6F,73,6F,66,74,2E,63,6F,6D,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,FC	
24	None	2019-01-26T15:44:03.0722033		192.168.116.17	192.168.116.31	UDP	SrcPort: 59805, DstPort: 5002, Length: 314	306	44,52,49,4E,45,54,54,4D,C0,A8,74,11,7A,3D,00,00,00,3E,31,31,37,34,61,38,63,30,2D,33,30,36,37,36,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,69,71,6E,2E,31,39,39,31,2D,30,35,2E,63,6F,6D,2E,6D,69,63,72,6F,73,6F,66,74,3A,75,6E,69,73,70,68,65,72,65,2E,6E,6F,72,74,68,61,6D,65,72,69,63,61,2E,63,6F,72,70,2E,6D,69,63,72,6F,73,6F,66,74,2E,63,6F,6D,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,FC	
34	None	2019-01-26T15:44:03.4460835		10.0.0.2	192.168.1.3	UDP	SrcPort: 59812, DstPort: 7000, Length: 78	70	00,03,5A,78,9C,D3,64,E0,64,50,94,AC,62,60,10,73,61,60,08,38,A0,69,28,E1,C0,B8,CE,5D,80,01,59,80,69,A3,BB,20,03,83,4E,AC,AB,18,83,1B,50,82,41,A1,41,96,01,0C,02,0E,40,94,21,00,48,79,16,90,06,00,46,14,0B,9D,B0,18	
35	None	2019-01-26T15:44:03.4578244	0.0000008	192.168.1.3	10.0.0.2	UDP	SrcPort: 7000, DstPort: 59812, Length: 15	7	00,15,A5,00,21,D7,87	
59	None	2019-01-26T15:44:04.3107157	0.0000012	10.0.0.20	239.255.255.250	UDP	SrcPort: 35039, DstPort: 15600, Length: 43	35	53,45,41,52,43,48,20,42,53,44,50,2F,30,2E,31,0A,44,45,56,49,43,45,3D,30,0A,53,45,52,56,49,43,45,3D,31,0A	
360	None	2019-01-26T15:44:04.4472344		10.0.0.2	192.168.1.3	UDP	SrcPort: 59812, DstPort: 7000, Length: 78	70	00,03,5A,78,9C,D3,64,E0,64,50,92,AC,62,60,10,73,61,60,08,38,A0,69,28,E1,C0,38,DF,5B,88,01,59,80,69,91,B7,30,03,83,4E,AC,AB,04,83,1B,50,82,41,A1,41,96,01,0C,02,0E,40,94,21,00,48,79,16,90,06,00,42,8E,0B,8E,80,9C	
361	None	2019-01-26T15:44:04.4601109	0.0000013	192.168.1.3	10.0.0.2	UDP	SrcPort: 7000, DstPort: 59812, Length: 15	7	00,15,A5,00,22,86,3D	
409	None	2019-01-26T15:44:05.4758733		10.0.0.2	192.168.1.3	UDP	SrcPort: 59812, DstPort: 7000, Length: 70	62	00,03,5A,78,9C,93,60,E0,64,50,96,AC,62,60,10,73,61,60,08,38,A0,69,28,E1,C0,D4,ED,2F,C2,C0,A0,13,EB,2A,C9,E0,C6,00,04,0A,0D,B2,0C,60,10,70,00,A2,0C,01,40,CA,B3,80,34,00,4F,93,08,54,4C,FF	
410	None	2019-01-26T15:44:05.4950199	0.0000016	192.168.1.3	10.0.0.2	UDP	SrcPort: 7000, DstPort: 59812, Length: 15	7	00,15,A5,00,23,B6,AB	
433	None	2019-01-26T15:44:06.4596273		10.0.0.2	192.168.1.3	UDP	SrcPort: 59812, DstPort: 7000, Length: 77	69	00,03,5A,78,9C,D3,64,E0,64,50,91,AC,62,60,10,73,61,60,08,38,A0,69,28,E1,C0,58,12,2C,CA,80,2C,C0,54,1E,2C,C6,C0,A0,13,EB,2A,C5,E0,06,94,60,50,68,90,65,00,83,80,03,10,65,08,00,52,9E,05,A4,01,34,CC,0B,52,DE,FF	
